	source	interaction	target
662	C3	1	ITGAX_ITGB2
663	TNF	1	LTBR
664	EGFR	1	JAK1
665	MAP3K5	1	MAPK8
666	PRKCG	-1	TRPC3
667	ROCK2	1	MYL2
668	PPP1CA	-1	EIF2S1
669	PPP1CB	-1	EIF2S1
670	YWHAZ	0	RAF1
671	YWHAQ	-1	RAF1
672	YWHAB	-1	RAF1
673	YWHAZ	-1	BRAF
674	DLG1	1	PTEN
675	MAGI1	1	PTEN
676	MAP2K4	1	MAPK12
677	PAK1	1	BRAF
678	PPP3R1	1	NFATC2
679	PPP3R1	1	NFATC3
680	PPP3R1	1	NFATC4
681	CTTN	1	NCK1
682	SLC9A3R1	1	PTEN
683	EGFR	1	PLCG2
684	YWHAG	-1	ARAF
685	YWHAG	-1	BRAF
686	SRC	1	FCGR2A
687	ABL1	1	PRKD2
688	CAMK2B	1	CREB1
689	CAMK2D	1	CREB1
690	CAMK2G	1	CREB1
691	MAPK9	1	FOS
692	PRKCB	1	BRAF
693	ROCK1	0	MYL2
694	CAMK1G	1	CREB1
695	MAP2K7	1	MAPK14
696	MAPK1	1	ESR2
697	MAPK3	1	CREB1
698	MAPK1	1	CREB1
699	IRF3	1	CREBBP
700	CALM1	1	CAMK2G
701	CAMK2G	0	CALM1
702	YWHAG	-1	RAF1
703	PDGFRA	1	GRB2
704	HRAS	1	RALGDS
705	YWHAB	-1	BRAF
706	CTNNB1	1	TCF7L1
707	SLC9A3R1	1	EZR
708	RAF1	0	RB1
709	TICAM1	1	TRAF3
710	PRKN	-1	MFN2
711	EGFR	1	PIK3CA
712	RCHY1	-1	TP53
713	VLDLR	1	DAB1
714	MAP2K1	1	MAPK14
715	GAB1	1	PIK3CB
716	SKP1	0	NFKBIA
717	CALM3	1	CAMK2D
718	CALM1	1	CAMK2D
719	CALM2	1	CAMK2D
720	CALM3	1	CAMK2B
721	CALM1	1	CAMK2B
722	CALM2	1	CAMK2B
723	CALM3	1	CAMK2G
724	CALM2	1	CAMK2G
725	CALM3	1	CAMK1
726	CALM1	1	CAMK1
727	CAMK1	0	CALM1
728	CALM2	1	CAMK1
729	UCHL1	1	RPS27A
730	UCHL1	1	UBA52
731	UCHL1	1	UBB
732	CD8A	1	LCK
733	KIT	1	PIK3CA
734	MAP2K3	1	MAPK3
735	HRAS	1	MAP3K1
736	GAB1	1	PIK3CD
737	IL2RB	1	JAK3
738	BLNK	1	PLCG2
739	KRAS	1	RALGDS
740	MAPK13	1	ATF2
741	MAP2K4	1	MAPK11
742	IRF3	1	EP300
743	JAK3	0	STAT6
744	RPS6KA5	1	ATF2
745	TBK1	1	CALCOCO2
746	ADRB2	1	GNAI3
747	KRAS	1	ARAF
748	YWHAQ	-1	BRAF
749	TNFRSF14	1	TRAF2
750	YWHAE	-1	RAF1
751	YWHAZ	-1	ARAF
752	C3	1	VSIG4
753	MED14	1	NR3C1
754	LAT	1	PLCG2
755	YWHAE	-1	ARAF
756	RHOG	1	ELMO1
757	PRKN	1	TOMM70
758	CASP3	1	DCC
759	ESR2	1	SRC
760	PDGFRB	1	PIK3CA
761	PIK3CA	1	PRKCD
762	PSAP	1	GBA
763	PIK3CB	1	PRKCD
764	RHOG	1	ELMO2
765	FGFR3	1	GRB2
766	FGFR1	1	GRB2
767	LCP2	1	PLCG2
768	GNAQ	1	PLCB2
769	DNAJB1	-1	DNAJC3
770	TADA3	1	EP300
771	EIF2S1	-1	EIF2B2
772	EIF2S1	-1	EIF2B1
773	EIF2S1	-1	EIF2B4
774	MAPK11	1	JUN
775	JAK2	1	STAT2
776	CXCR4	1	GNA13
777	CCR5	1	GNAQ
778	AKT1	1	ESR2
779	SKP2	1	RB1
780	VDAC2	1	CYCS
781	GNAS	1	ADCY6
782	PPID	1	SLC25A4
783	EIF2S1	-1	EIF2B3
