	source	interaction	target
3457	INSR	1	PTPRF
3458	PTPRF	1	INSR
3459	PTPRF	1	IRS2
3460	ERBB2	1	ESR1
3461	NR0B1	1	ESR2
3462	NR0B2	1	RXRA
3463	NR0B2	1	NR5A2
3464	THRB	1	RXRA
3465	RXRA	1	THRB
3466	THRA	1	RXRB
3467	RXRB	1	THRA
3468	NR0B2	1	RXRB
3469	THRA	1	RXRA
3470	RXRA	1	THRA
3471	RXRA	1	NR1H4
3472	NR1H4	1	RXRA
3473	VDR	1	RXRA
3474	RXRA	1	VDR
3475	VDR	1	RXRB
3476	RXRB	1	VDR
3477	RXRA	1	NR1I3
3478	NR1I3	1	RXRA
3479	NR1I2	1	RXRA
3480	RXRA	1	NR1I2
3481	RXRA	1	NR4A1
3482	NR4A1	-1	RXRA
3483	THRB	1	RXRB
3484	RXRB	1	THRB
3485	NR2F1	1	RXRA
3486	RXRA	1	NR2F1
3487	RXRB	1	NR2F1
3488	NR2F2	1	NR2F1
3489	RXRB	1	NR2F2
3490	NR2F6	1	THRB
3491	NR0B2	1	ESR2
3492	ESR2	1	NR0B2
3493	NR3C1	1	NR3C2
3494	NR3C2	1	NR3C1
3495	NR1I2	-1	NR0B2
3496	NR0B2	1	NR1I2
3497	RXRB	1	PPARD
3498	PPARD	1	RXRB
3499	RXRA	1	PPARD
3500	PPARD	1	RXRA
3501	NR2C2	1	HNF4A
3502	NR0B1	1	ESRRG
3503	NCOR2	1	PGR
3504	NCOR2	1	AR
3505	NR0B2	1	RARA
3506	NR0B2	1	PPARA
3507	NR0B2	1	NR1H2
3508	NR0B2	1	NR1H3
3509	NR0B2	1	NR1I3
3510	NR0B2	1	ESRRG
3511	NR0B2	1	ESRRA
3512	NR0B2	1	AR
3513	THRA	1	RARG
3514	RARG	1	THRA
3515	RARA	1	THRA
3516	THRA	1	RARA
3517	RARB	1	THRA
3518	THRA	1	RARB
3519	THRA	1	RXRG
3520	RXRG	1	THRA
3521	RARB	1	RXRB
3522	RXRB	1	RARB
3523	RXRG	1	PPARA
3524	PPARA	1	RXRG
3525	NR3C1	1	PPARG
3526	PPARG	1	NR3C1
3527	NR1D1	1	NR2E3
3528	NR2E3	1	NR1D1
3529	RXRB	1	NR1H2
3530	NR1H2	1	RXRB
3531	NR1I2	1	HNF4A
3532	RXRA	1	NR4A2
3533	NR4A2	1	RXRA
3534	RXRB	1	PPARA
3535	PPARA	1	RXRB
3536	RXRB	1	NR4A2
3537	NR4A2	1	RXRB
3538	THRB	1	RXRG
3539	RXRG	1	THRB
3540	VDR	1	RXRG
3541	RXRG	1	VDR
3542	NR2C1	1	AR
3543	NR2C2	1	AR
3544	NR2C2	1	ESR1
3545	NR2F6	1	NR2F2
3546	NR2F2	1	NR2F6
3547	NR3C1	1	NR2F2
3548	NR2F2	1	NR3C1
3549	NR3C1	1	AR
3550	AR	1	NR3C1
3551	NCOA2	1	RARA
3552	ESR1	1	NCOA2
3553	ESR1	1	NRIP1
3554	NRIP1	1	ESR1
3555	RARA	1	NRIP1
3556	NRIP1	1	RARA
3557	RXRB	1	NRIP1
3558	NRIP1	1	RXRB
3559	NRIP1	-1	PPARA
3560	SRC	1	RXRA
3561	SRC	1	PPARG
3562	PRKCB	1	NCF1
3563	PRKCD	1	NCF1
3564	PAK1	-1	BAD
3565	FGR	1	PXN
3566	HCK	1	PXN
3567	LYN	1	PXN
3568	SRC	1	PXN
3569	PXN	1	SRC
3570	PRKACA	-1	PREX1
3571	FGR	1	PTK2
3572	PTK2	1	FGR
3573	HCK	1	PTK2
3574	LYN	1	PTK2
3575	SRC	1	PTK2
3576	PTK2	1	SRC
3577	FGR	1	PTK2B
3578	PTK2B	1	FGR
3579	HCK	1	PTK2B
3580	PTK2B	1	HCK
3581	LYN	1	PTK2B
3582	PTK2B	1	LYN
3583	SRC	1	PTK2B
3584	PTK2B	1	SRC
3585	ZAP70	1	GAB2
3586	PRKCZ	1	PARD3
3587	PARD3	-1	TIAM1
3588	LCK	1	CBL
3589	CBL	-1	LCK
3590	CBLB	-1	ZAP70
3591	PTEN	-1	PTK2
3592	PTK2	-1	PTEN
3593	ITK	1	VAV3
3594	LAT	1	VAV1
3595	CDC42	1	PRKCZ
3596	PRKCZ	1	MAPK1
3597	PRKCZ	1	MAPK3
3598	JAK3	1	STAT2
3599	JAK3	1	STAT5B
3600	MAPK1	1	FOS
3601	MAPK3	1	FOS
3602	LCK	1	CD247
3603	CCR5	1	JAK3
3604	CXCR4	1	JAK3
3605	ADCY5	1	CAMP
3606	CAMP	1	PRKACA
3607	CAMP	1	PRKACB
3608	FGR	1	SHC1
3609	HCK	1	SHC1
3610	LYN	1	SHC1
3611	SRC	1	SHC1
3612	SHC1	1	SRC
3613	AKT3	1	BAD
3614	NFKBIA	1	NFKB1
3615	NFKB1	1	NFKBIB
3616	NFKBIB	-1	NFKB1
3617	AKT3	1	GSK3B
3618	AKT3	-1	FOXO3
3619	ZAP70	1	MAPK14
3620	MAPK14	1	ZAP70
3621	AKT3	1	CDKN1A
3622	CD4	1	LCK
3623	CSK	1	LCK
3624	GNB5	1	PLCB3
3625	GNG4	1	PLCB3
3626	PTPA	1	AKT1
3627	PTPA	-1	AKT3
3628	GNAI1	-1	ADCY5
3629	GNAI1	-1	ADCY6
3630	GNAI2	-1	ADCY5
3631	GNAI2	-1	ADCY6
3632	GNAI3	-1	ADCY5
3633	GNAI3	-1	ADCY6
3634	FGR	1	PIK3R1
3635	FGR	1	PIK3R2
3636	HCK	1	PIK3R1
3637	HCK	1	PIK3R2
3638	LYN	1	PIK3R2
3639	SRC	1	PIK3R2
3640	CBLB	1	PIK3R1
3641	CBLB	1	PIK3R2
3642	PTPN6	-1	PIK3R1
3643	PTPN6	-1	PIK3R2
3644	GNB5	1	PIK3R1
3645	GNB5	1	PIK3R2
3646	GNG4	1	PIK3R1
3647	GNG4	1	PIK3R2
3648	CCR5	1	GNAI1
3649	CCR5	1	GNAI2
3650	CCR5	1	GNAI3
3651	CXCR4	1	GNAI1
3652	GNAI1	1	CXCR4
3653	CXCR4	1	GNAI2
3654	CXCR4	1	GNAI3
3655	ZAP70	1	LCP2
3656	ZAP70	1	VAV1
3657	ZAP70	1	LAT
3658	LCK	1	SIT1
3659	LAT	1	PLCG1
3660	CBL	-1	PLCG1
3661	GNAI1	1	HCK
3662	GNAI1	1	SRC
3663	GNAI2	1	FGR
3664	GNAI2	1	HCK
3665	GNAI2	1	LYN
3666	GNAI2	1	SRC
3667	MAP3K1	1	MAP2K2
3668	CD28	1	PIK3R2
3669	CBL	-1	PIK3R1
3670	CBL	-1	PIK3R2
3671	PTPN11	1	PIK3R1
3672	PTPN11	-1	PIK3R2
3673	LCK	-1	PIK3R1
3674	ITK	1	CD28
3675	LCK	1	ITK
3676	LAT	1	PIK3R1
3677	LAT	1	PIK3R2
3678	FGR	1	ELMO1
3679	HCK	1	ELMO1
3680	LYN	1	ELMO1
3681	CD247	1	PTPN6
3682	PTPN6	1	CD247
3683	GSK3B	-1	NFATC2
3684	AKT1	1	MAP3K8
3685	AKT3	1	MAP3K8
3686	ALOX5	1	ALOX5AP
3687	ALOX5AP	1	ALOX5
