	source	interaction	target
669	STK3	1	LATS1
670	SRC	1	CAV1
671	ATM	1	RASSF1
672	HSBP1	-1	HSF1
673	AKT1	-1	HSPB1
674	MAPKAPK3	1	HSPB1
675	ARAF	1	MAP2K2
676	BRAF	1	MAP2K1
677	RAF1	1	MAP2K2
678	BRAF	1	MAP2K2
679	MAPK1	-1	BRAF
680	ARAF	1	MAP2K1
681	MAPK1	1	RAF1
682	MAPK3	1	RAF1
683	MAP2K2	1	MAPK1
684	MAPK3	1	RPS6KA1
685	RPS6KA1	-1	BAD
686	MAPK3	-1	BRAF
687	UBE2N	1	TRAF2
688	TRAF2	1	BIRC3
689	BIRC3	-1	TRAF2
690	MAPK8	1	SP1
691	ATM	1	RRM2B
692	RAD9A	1	TOPBP1
693	ABL1	1	CASP9
694	ABL1	1	CAT
695	ABL1	1	APBB1
696	PLK1	1	CCNB1
697	ABL1	1	CDK5
698	CSF1	1	CSF1R
699	SRC	1	ABL2
700	ABL1	1	ABL2
701	ABL1	1	ABI1
702	ABI1	1	ABL1
703	CHEK1	1	FANCE
704	CHEK1	1	FANCD2
705	SRC	1	ABL1
706	AURKA	1	NDEL1
707	PLK1	1	CHEK2
708	AURKA	-1	RASSF1
709	HERC2	-1	XPA
710	OTUB1	-1	UBE2N
711	GATA1	-1	SPI1
712	SPI1	-1	GATA1
713	CSF3	1	CSF3R
714	CSF2	1	CSF2RA
715	ATM	1	EIF4EBP1
716	ATM	1	RPA2
717	ATR	1	MCM2
718	ATM	1	MCM3
719	ATM	-1	CREB1
720	PPM1D	1	TP53
721	HGF	1	MET
722	PPM1D	-1	CHEK1
723	USP1	1	FANCI
724	AKT1	1	MDM2
725	AKT1	1	GSK3B
726	MAPK1	-1	CASP9
727	AKT1	-1	RAF1
728	ID3	-1	TCF3
729	BAK1	1	CYCS
730	BAK1	1	DIABLO
731	BAX	1	HTRA2
732	IKBKE	1	IRF3
733	CASP3	-1	PSIP1
734	KEAP1	-1	NFE2L2
735	CASP3	-1	PARP1
736	MAPK3	1	STAT3
737	BAX	1	CYCS
738	BIRC5	1	CASP3
739	ATM	1	TP53BP1
740	RB1	-1	E2F2
741	TNF	1	TNFRSF1B
742	BAG4	-1	TNFRSF1A
743	TNFRSF1B	1	TRAF2
744	CDK1	1	EIF4G2
745	BTRC	-1	WEE1
746	PRKDC	1	WRN
747	PRKDC	1	H2AX
748	MARK1	-1	MAP2
749	MARK1	-1	MAP4
750	INS	1	INSR
751	BAG1	1	BCL2
752	DUSP5	1	MAPK3
753	ATR	1	BRCA1
754	ATR	1	CHEK1
755	MAP3K4	1	MAP2K6
756	BAG1	-1	PPP1R15A
757	MAP3K4	1	MAP2K4
758	CSNK1A1	1	TP53
759	CDK2	1	CDC25A
760	CDC25A	1	CDK2
761	XIAP	-1	CASP3
762	XIAP	-1	CASP9
763	ATR	1	RAD17
764	MARK1	-1	MAPT
765	AURKA	1	TP53
766	PALB2	1	BRCA2
767	H4-16	1	TP53BP1
768	FAS	1	FADD
769	CD70	1	CD27
770	FASLG	1	FAS
771	TNFSF10	1	TNFRSF10D
772	TNFRSF10D	-1	TNFSF10
773	TNFSF10	1	TNFRSF10B
774	TNFSF10	1	TNFRSF10A
775	TNFRSF10B	1	FADD
776	TNFRSF1A	1	TRADD
777	TRADD	1	FADD
778	TRADD	1	TRAF2
779	TNF	1	TNFRSF1A
780	SHH	1	PTCH1
781	BLVRA	1	PRKCB
782	INSR	1	IRS1
783	PIM1	-1	BAD
784	PTCH1	1	SMO
785	CHEK2	1	BRCA1
786	RPA1	1	BRIP1
787	MAP2K3	1	MAPK14
788	UBE2N	1	H2AX
789	MAP3K5	1	MAP2K3
790	SUFU	1	GLI1
791	HSPA1A	-1	APAF1
792	GADD45A	1	MAPK14
793	BARD1	1	BRCA1
794	CASP3	1	CASP9
795	CASP9	1	CASP3
796	TCL1A	1	AKT1
797	EIF2AK4	1	EIF2A
798	EIF2AK3	1	EIF2A
799	ERN1	1	XBP1
800	SRC	1	CDC42
801	SRC	1	HRAS
802	MAP3K1	1	MAP2K4
803	MAP3K1	1	MAP2K7
804	MAPK8	-1	BCL2L1
805	BCL2L11	1	BAX
806	TRAF3	-1	MAP3K14
807	XIAP	-1	CASP7
808	GNRH1	1	GNRHR
809	TYK2	1	STAT1
810	PIAS1	1	STAT1
811	PIAS3	1	STAT3
812	RIPK1	1	CASP8
813	CASP8	-1	RIPK1
814	JAK1	1	STAT1
815	MAPK8	1	STAT1
816	MAP2K7	1	MAPK8
817	MAPK14	1	DDIT3
818	USP7	1	TP53
819	XAF1	-1	XIAP
820	CCND1	1	CDK4
821	TP53BP2	1	TP53
822	AKT1	-1	BAD
823	AKT1	-1	CASP9
824	PDK2	1	AKT1
825	BBC3	-1	BCL2L1
826	BBC3	-1	BCL2
827	CASP12	1	CASP9
828	MAPK8	1	BAD
829	AKT1	1	CREB1
830	PMAIP1	-1	BCL2
831	PMAIP1	-1	BCL2L1
832	SH3GLB1	1	BAX
833	WNT5A	1	ROR2
834	CDKN2A	-1	MDM2
835	PAK1	1	CTNNB1
836	CFLAR	-1	CASP8
837	CDC42	1	PAK1
838	RAC1	1	PAK1
839	BAX	1	DIABLO
840	CDK5	-1	PAK1
841	CHEK2	1	E2F1
842	FBXW7	-1	PPARGC1A
843	APAF1	1	CASP9
844	FADD	1	CASP8
845	ATM	1	FANCD2
846	RAC3	1	PAK1
847	RAC2	1	PAK1
848	NCK1	1	PAK1
849	PPM1E	-1	PAK1
850	PPM1F	-1	PAK1
851	F2R	1	GNA13
852	ATG3	1	GABARAP
853	ATG3	1	GABARAPL2
854	ABRAXAS1	1	BRCA1
855	MAPK8	1	H2AX
856	AXIN1	1	MAP3K1
857	RET	1	SHC1
858	UBR2	1	RECQL4
859	GABARAPL1	1	SQSTM1
860	OTUD5	-1	TRAF3
861	CARD11	1	MALT1
862	RRM2B	1	RRM1
863	CBX1	1	H3-4
864	CTNNB1	1	LEF1
865	CXCL11	1	CXCR3
866	CDH1	1	CTNNB1
867	MEN1	1	FANCD2
868	CTNNB1	1	TCF7
869	CD80	1	CD28
870	CD86	1	CD28
871	EMSY	-1	BRCA2
872	SH2B2	1	CBL
873	CD28	1	GRB2
874	FANCD2	1	BRCA2
875	UBR1	1	RECQL4
876	MAML1	1	RBPJ
877	MET	1	GAB1
878	CD40	1	TRAF3
879	BRIP1	1	BRCA1
880	ATG7	1	GABARAPL2
881	DVL1	1	RAC1
882	ABL1	1	CRK
883	EGFR	1	PLCG1
884	GABARAPL2	1	SQSTM1
885	SMARCAD1	1	TRIM28
886	RUBCN	-1	PIK3C3
887	RCOR1	1	REST
888	CARD11	1	BCL10
889	BRCA1	-1	ACACA
890	PINK1	1	PRKN
891	MAX	1	MNT
892	BRCA2	1	RAD51
893	GRB2	1	GAB1
894	CDC73	1	CTNNB1
895	MAP1LC3A	1	SQSTM1
896	EGFR	1	ERBB2
897	ERBB2	1	EGFR
898	EGFR	1	ERBB3
899	MAX	1	MYC
900	PLK1	-1	TP53BP1
901	IL1B	1	IL1R2
902	NBR1	1	GABARAP
903	DVL1	-1	AXIN1
904	SUFU	1	GLI3
905	SRC	1	RAF1
906	SUFU	-1	GLI2
907	ATG7	1	MAP1LC3A
908	PSEN1	1	CTNNB1
909	MEN1	-1	RELA
910	MAP1LC3A	1	ATG3
911	ATG3	1	MAP1LC3A
912	NBR1	1	GABARAPL1
913	TGFB1	1	TGFBR2
