	sig_id	A375	A549	HA1E	HCC515	HEKTE	HEPG2	HT29	JURKAT	MCF7	PC3	SHSY5Y	SW480	VCAP
156	KDA001_HT29_96H:TRCN0000006044:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
157	KDA001_HT29_96H:TRCN0000008027:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
158	KDA001_HT29_96H:TRCN0000010341:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
159	KDA001_HT29_96H:TRCN0000013564:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
160	KDA001_HT29_96H:TRCN0000013818:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
161	KDA001_HT29_96H:TRCN0000019321:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
162	KDA001_HT29_96H:TRCN0000037816:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
163	KDA001_HT29_96H:TRCN0000039634:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
164	KDA001_HT29_96H:TRCN0000039961:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
165	KDA001_HT29_96H:TRCN0000040082:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
166	KDA001_HT29_96H:TRCN0000040101:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
167	KDA001_HT29_96H:TRCN0000061756:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
168	KDA001_MCF7_96H:TRCN0000001617:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
169	KDA001_MCF7_96H:TRCN0000005986:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
170	KDA001_MCF7_96H:TRCN0000008027:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
171	KDA001_MCF7_96H:TRCN0000019321:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
172	KDA001_PC3_144H:TRCN0000005986:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
173	KDA001_PC3_144H:TRCN0000019322:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
174	KDA001_PC3_96H:TRCN0000061756:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
175	KDA002_A375_96H:A14	1	0	0	0	0	0	0	0	0	0	0	0	0
176	KDA002_A375_96H:E05	1	0	0	0	0	0	0	0	0	0	0	0	0
177	KDA002_A375_96H:H11	1	0	0	0	0	0	0	0	0	0	0	0	0
178	KDA002_A375_96H:J19	1	0	0	0	0	0	0	0	0	0	0	0	0
179	KDA002_A375_96H:L01	1	0	0	0	0	0	0	0	0	0	0	0	0
180	KDA002_A375_96H:L11	1	0	0	0	0	0	0	0	0	0	0	0	0
181	KDA002_A375_96H:M08	1	0	0	0	0	0	0	0	0	0	0	0	0
182	KDA002_A375_96H:N12	1	0	0	0	0	0	0	0	0	0	0	0	0
183	KDA002_A375_96H:TRCN0000003581:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
184	KDA002_A375_96H:TRCN0000005952:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
185	KDA002_A375_96H:TRCN0000007945:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
186	KDA002_A375_96H:TRCN0000021847:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
187	KDA002_A549_96H:TRCN0000002511:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
188	KDA002_A549_96H:TRCN0000004303:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
189	KDA002_A549_96H:TRCN0000005097:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
190	KDA002_A549_96H:TRCN0000007006:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
191	KDA002_A549_96H:TRCN0000020843:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
192	KDA002_A549_96H:TRCN0000021847:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
