	ATF2	ATF6	CREB1	ELK1	ESR1	ESR2	FOS	HIF1A	JUN	LEF1	MYC	NFATC2	NFE2L2	NR3C1	RXRA	SMAD3	SMAD4	SP1	STAT1	STAT2	STAT3	STAT4	STAT5A	STAT5B	STAT6	TCF7L2	TP53
TAK002_HEKTE_96H:TRCN0000073720:-666	0.59647476909782	0.645879696735377	0.504533154377023	0.427559092417403	0.755085125634717	0.911859598611805	0.570231186741333	0.050806861749861	0.22003529334524	0.274082282285475	0.0640648327016817	0.50763079292014	0.538859112386462	0.699404577565812	0.245950032464695	0.578523103982063	0.676718596688379	0.0503034815850632	0.880422727796246	0.792476946611545	0.428464918503034	0.5797959619798	0.463232372456804	0.461241386451874	0.749383116282541	0.454093666164709	0.346104234162114
EKW001_PC3_120H:TRCN0000295915:2	0.828240607783279	0.511643487035931	0.208887085486327	0.832446066643699	0.65070911811438	0.761556546076062	0.653965133524131	0.842467681778584	0.497531284733819	0.204421170697225	0.134311515518423	0.704893712835343	0.33629382096213	0.262138813345125	0.902149164347022	0.954688714157129	0.781236203031166	0.519940380866663	0.446317228975459	0.0307133960203893	0.154951401608784	0.634290650061625	0.107453847572093	0.172206331989436	0.727876740345372	0.23785096411333	0.931819652867306
TAK001_HEKTE_96H:TRCN0000000943:-666	0.321520464339142	0.543419280782755	0.69029293064658	0.478906413909164	0.209207800421056	0.316913443223606	0.721017676728845	0.272740910430509	0.413053160282455	0.623686769981452	0.725744754363493	0.628123513921693	0.117367227580154	0.790961787615593	0.60096312181088	0.597203230184892	0.430362949747388	0.474317168263227	0.0629266023045056	0.322996680671008	0.288699765007744	0.59908964618396	0.675267534800094	0.50717166432476	0.311293112025831	0.632492523041926	0.0020688014758704
TAK001_HEKTE_96H:TRCN0000350275:-666	0.300067056671728	0.4415746501734	0.895217777108707	0.821824711106588	0.701712415984882	0.120962057263399	0.294049659542454	0.101946447475077	0.231514612197568	0.390402307090253	0.928583220405118	0.342170201992994	0.686156432018993	0.166938430584115	0.71184459599908	0.673764098216999	0.331713471083887	0.379481214388195	0.0325841523456838	0.017536870569457	0.358836072107538	0.742736904739832	0.456303974030467	0.536600937376134	0.454194962207612	0.726811904161449	0.0609116288124656
TAK001_HEKTE_96H:TRCN0000226467:-666	0.572483029812733	0.0421134517557438	0.631592929071919	0.58662942853272	0.52050276636604	0.680009392418307	0.902138545902234	0.688944024338621	0.934382637016611	0.425259822214278	0.0418353130378046	0.477659394687675	0.18057909062168	0.570217914916438	0.741818597567539	0.493064993543811	0.434915753017127	0.605045190459748	0.988869992209129	0.984456232996843	0.942147690592538	0.84573769577219	0.836287443834068	0.764841266980988	0.944325508396192	0.0849167072505531	0.994853434715837
DER001_A375_96H:TRCN0000121321:-666	0.910552786643641	0.589097607327692	0.663420253740599	0.668894283311436	0.594031896362199	0.810577625377125	0.851631105608749	0.46572788145851	0.759939489907799	0.406045941440311	0.0388187405398849	0.192217155446753	0.26469503338257	0.44295416753084	0.599018521330201	0.748562059458992	0.574709288651424	0.655536663498851	0.945015875825506	0.935694146292595	0.605684292695153	0.699674237332526	0.714614049831942	0.728202401932386	0.706766238550587	0.72027687932039	0.97961163664456
TAK003_PC3_96H:TRCN0000003522:-666	0.844639126115461	0.863830792294792	0.864841662024028	0.718004894571508	0.42497300413966	0.562571597082765	0.586318274559	0.99162030402405	0.37672351803027	0.404952562739549	0.571472270765309	0.677911169821294	0.553171900313669	0.57564961355143	0.360722730858097	0.682352919045293	0.487622290376976	0.831977175712145	0.357901558386045	0.0394987858918527	0.624548063292581	0.386848111513728	0.665352866171717	0.78782226031285	0.588223311960998	0.610763153399003	0.399107116289702
TAK003_HEKTE_96H:TRCN0000003519:-666	0.653531552866387	0.688688500600285	0.835597480495846	0.466273889440956	0.517954630430366	0.784742906587236	0.542107329520796	0.477102063592188	0.210263289663195	0.226673941343684	0.00580044955208656	0.125647885727701	0.295027226288198	0.488578845009173	0.854834254843243	0.539023913497256	0.204312884000243	0.581705955900192	0.644249623331742	0.014627489025504	0.396320174725875	0.557879097932832	0.702361305343376	0.833992816015135	0.770558650916964	0.630154712305152	0.820431751828185
TAK001_A375_96H:TRCN0000033500:-666	0.589378486248317	0.289716987416237	0.239211694744253	0.374016189917172	0.408200753352188	0.253141181667501	0.0439047777188654	0.772180684369919	0.175936406199076	0.625010998083435	0.988706902282499	0.279507152009029	0.76967418409758	0.0773217262239759	0.786767550811788	0.532184527674246	0.879377056501244	0.404245558908056	0.0578616920923137	0.727440501348968	0.327589499650572	0.177682058210687	0.236017757877568	0.141480473794727	0.315858372089219	0.666724246730805	0.156285703759113
TAK001_HEKTE_96H:TRCN0000003360:-666	0.561760170559463	0.584250178330577	0.471958390899398	0.629723101514375	0.75490333114611	0.414344095324196	0.584360718952156	0.41530696364486	0.69098158181334	0.538436879950961	0.991942715901122	0.473762089301503	0.715562390159897	0.4838860943018	0.559739684712936	0.972917812140571	0.839094514450429	0.387892493411935	0.602447089324789	0.301156701720428	0.850072328241179	0.878927607759295	0.748796205978305	0.758210650240712	0.668913693428199	0.61576887457003	0.208344346811892
